id_vulnerabilidad,tipo,severidad,descripcion,fecha_detectada,fecha_resolucion,estado,id_sistema
16,"Misconfigured Service",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #16. Requiere priorizaci├│n.",2025-06-24,2025-09-04,Resuelta,27
17,"Insecure Deserialization",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #17. Requiere priorizaci├│n.",2025-01-25,2025-07-31,Resuelta,18
18,"Weak Cipher",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #18. Requiere priorizaci├│n.",2024-12-25,2025-07-16,Resuelta,16
19,"Cross-Site Scripting",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #19. Requiere priorizaci├│n.",2025-07-29,NULL,Activa,4
20,"Buffer Overflow",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #20. Requiere priorizaci├│n.",2025-04-24,NULL,Activa,9
21,"Weak Cipher",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #21. Requiere priorizaci├│n.",2025-09-05,2025-11-04,Resuelta,1
22,"Open Port",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #22. Requiere priorizaci├│n.",2025-05-19,NULL,Activa,32
23,"Insecure Deserialization",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #23. Requiere priorizaci├│n.",2025-01-25,2025-05-21,Resuelta,1
24,"Privilege Escalation",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #24. Requiere priorizaci├│n.",2025-04-29,2025-04-25,Resuelta,21
25,"Default Credentials",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #25. Requiere priorizaci├│n.",2025-09-09,NULL,Activa,17
26,"Default Credentials",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #26. Requiere priorizaci├│n.",2024-12-16,NULL,Activa,34
27,"Buffer Overflow",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #27. Requiere priorizaci├│n.",2024-11-23,NULL,Activa,15
28,RCE,Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #28. Requiere priorizaci├│n.",2025-11-10,NULL,Activa,4
29,"SQL Injection",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #29. Requiere priorizaci├│n.",2025-07-23,2025-08-05,Resuelta,16
30,"Open Port",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #30. Requiere priorizaci├│n.",2025-08-12,2025-07-12,Resuelta,22
31,"Privilege Escalation",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #31. Requiere priorizaci├│n.",2025-09-03,NULL,Activa,10
32,"Privilege Escalation",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #32. Requiere priorizaci├│n.",2025-06-04,NULL,Activa,4
33,"Privilege Escalation",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #33. Requiere priorizaci├│n.",2025-10-09,NULL,Activa,16
34,"Default Credentials",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #34. Requiere priorizaci├│n.",2025-06-29,NULL,Activa,33
35,"Insecure Deserialization",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #35. Requiere priorizaci├│n.",2024-12-18,NULL,Activa,33
36,"Misconfigured Service",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #36. Requiere priorizaci├│n.",2025-08-08,NULL,Activa,23
37,"Insecure Deserialization",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #37. Requiere priorizaci├│n.",2025-10-30,2025-10-29,Resuelta,2
38,"Open Port",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #38. Requiere priorizaci├│n.",2025-04-01,2025-10-07,Resuelta,19
39,"Privilege Escalation",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #39. Requiere priorizaci├│n.",2025-02-27,2025-08-14,Resuelta,34
40,"Default Credentials",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #40. Requiere priorizaci├│n.",2025-09-01,2025-08-28,Resuelta,28
41,"Weak Cipher",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #41. Requiere priorizaci├│n.",2025-05-17,NULL,Activa,16
42,"Default Credentials",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #42. Requiere priorizaci├│n.",2025-06-22,NULL,Activa,2
43,RCE,Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #43. Requiere priorizaci├│n.",2025-06-21,2025-08-31,Resuelta,25
44,"Misconfigured Service",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #44. Requiere priorizaci├│n.",2025-07-08,NULL,Activa,36
45,"Misconfigured Service",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #45. Requiere priorizaci├│n.",2025-02-05,2025-10-01,Resuelta,17
46,RCE,Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #46. Requiere priorizaci├│n.",2025-06-22,NULL,Activa,34
47,"Buffer Overflow",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #47. Requiere priorizaci├│n.",2025-03-09,NULL,Activa,11
48,"Insecure Deserialization",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #48. Requiere priorizaci├│n.",2025-06-12,2025-05-11,Resuelta,19
49,"Default Credentials",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #49. Requiere priorizaci├│n.",2025-04-27,NULL,Activa,26
50,"Cross-Site Scripting",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #50. Requiere priorizaci├│n.",2025-07-12,2025-05-12,Resuelta,28
51,"Insecure Deserialization",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #51. Requiere priorizaci├│n.",2025-09-17,NULL,Activa,1
52,"Buffer Overflow",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #52. Requiere priorizaci├│n.",2025-06-19,NULL,Activa,31
53,"Privilege Escalation",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #53. Requiere priorizaci├│n.",2024-12-23,NULL,Activa,24
54,"Open Port",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #54. Requiere priorizaci├│n.",2025-01-12,NULL,Activa,18
55,"Cross-Site Scripting",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #55. Requiere priorizaci├│n.",2025-10-09,2025-10-09,Resuelta,4
56,"Misconfigured Service",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #56. Requiere priorizaci├│n.",2025-09-12,NULL,Activa,30
57,"Buffer Overflow",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #57. Requiere priorizaci├│n.",2025-10-17,2025-06-03,Resuelta,21
58,"Privilege Escalation",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #58. Requiere priorizaci├│n.",2025-06-29,NULL,Activa,35
59,"Default Credentials",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #59. Requiere priorizaci├│n.",2025-05-23,2025-09-25,Resuelta,29
60,"SQL Injection",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #60. Requiere priorizaci├│n.",2025-01-01,NULL,Activa,37
61,RCE,Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #61. Requiere priorizaci├│n.",2025-02-11,2025-07-13,Resuelta,10
62,"Misconfigured Service",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #62. Requiere priorizaci├│n.",2025-02-02,NULL,Activa,38
63,"Insecure Deserialization",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #63. Requiere priorizaci├│n.",2025-06-15,2025-06-28,Resuelta,1
64,"Buffer Overflow",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #64. Requiere priorizaci├│n.",2025-06-05,NULL,Activa,22
65,RCE,Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #65. Requiere priorizaci├│n.",2025-03-30,2025-05-23,Resuelta,10
66,"Buffer Overflow",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #66. Requiere priorizaci├│n.",2025-08-20,2025-05-22,Resuelta,36
67,"Weak Cipher",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #67. Requiere priorizaci├│n.",2025-11-05,NULL,Activa,12
68,"Default Credentials",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #68. Requiere priorizaci├│n.",2025-09-19,2025-06-12,Resuelta,36
69,"Open Port",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #69. Requiere priorizaci├│n.",2024-12-12,2025-10-08,Resuelta,33
70,"Privilege Escalation",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #70. Requiere priorizaci├│n.",2025-08-15,NULL,Activa,31
71,"Misconfigured Service",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #71. Requiere priorizaci├│n.",2025-10-20,NULL,Activa,7
72,"Weak Cipher",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #72. Requiere priorizaci├│n.",2024-11-11,2025-08-14,Resuelta,31
73,"Misconfigured Service",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #73. Requiere priorizaci├│n.",2024-12-12,2025-05-18,Resuelta,17
74,"Default Credentials",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #74. Requiere priorizaci├│n.",2024-11-20,2025-10-08,Resuelta,18
75,"Open Port",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #75. Requiere priorizaci├│n.",2025-11-01,NULL,Activa,17
76,"Cross-Site Scripting",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #76. Requiere priorizaci├│n.",2025-05-21,NULL,Activa,3
77,"Misconfigured Service",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #77. Requiere priorizaci├│n.",2025-09-30,NULL,Activa,27
78,"Open Port",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #78. Requiere priorizaci├│n.",2024-11-27,NULL,Activa,7
79,"SQL Injection",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #79. Requiere priorizaci├│n.",2025-03-07,2025-05-11,Resuelta,8
80,"Buffer Overflow",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #80. Requiere priorizaci├│n.",2025-02-13,NULL,Activa,26
81,"SQL Injection",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #81. Requiere priorizaci├│n.",2025-08-29,2025-05-31,Resuelta,36
82,"Open Port",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #82. Requiere priorizaci├│n.",2024-12-29,NULL,Activa,29
83,"Insecure Deserialization",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #83. Requiere priorizaci├│n.",2025-07-14,NULL,Activa,33
84,"Misconfigured Service",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #84. Requiere priorizaci├│n.",2025-10-26,2025-07-11,Resuelta,23
85,RCE,Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #85. Requiere priorizaci├│n.",2025-06-02,NULL,Activa,10
86,"Insecure Deserialization",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #86. Requiere priorizaci├│n.",2025-01-04,NULL,Activa,28
87,"Buffer Overflow",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #87. Requiere priorizaci├│n.",2025-02-13,2025-05-14,Resuelta,24
88,"Insecure Deserialization",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #88. Requiere priorizaci├│n.",2024-12-11,2025-06-04,Resuelta,16
89,"Weak Cipher",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #89. Requiere priorizaci├│n.",2024-11-16,2025-05-26,Resuelta,14
90,"Default Credentials",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #90. Requiere priorizaci├│n.",2025-03-09,NULL,Activa,6
91,"Open Port",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #91. Requiere priorizaci├│n.",2025-09-22,NULL,Activa,16
92,"Cross-Site Scripting",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #92. Requiere priorizaci├│n.",2025-09-14,2025-10-21,Resuelta,14
93,"Privilege Escalation",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #93. Requiere priorizaci├│n.",2025-09-30,NULL,Activa,8
94,"SQL Injection",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #94. Requiere priorizaci├│n.",2024-11-27,NULL,Activa,18
95,"Weak Cipher",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #95. Requiere priorizaci├│n.",2025-03-18,2025-08-17,Resuelta,24
96,"Default Credentials",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #96. Requiere priorizaci├│n.",2025-09-11,NULL,Activa,35
97,RCE,Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #97. Requiere priorizaci├│n.",2025-04-30,NULL,Activa,1
98,"Privilege Escalation",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #98. Requiere priorizaci├│n.",2025-05-02,2025-05-16,Resuelta,35
99,"Misconfigured Service",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #99. Requiere priorizaci├│n.",2025-01-22,2025-10-25,Resuelta,39
100,"Insecure Deserialization",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #100. Requiere priorizaci├│n.",2025-02-03,NULL,Activa,22
101,"Weak Cipher",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #101. Requiere priorizaci├│n.",2025-08-17,2025-05-05,Resuelta,5
102,"SQL Injection",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #102. Requiere priorizaci├│n.",2025-03-13,2025-05-22,Resuelta,15
103,"Insecure Deserialization",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #103. Requiere priorizaci├│n.",2024-12-26,NULL,Activa,27
104,"Privilege Escalation",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #104. Requiere priorizaci├│n.",2025-07-20,2025-08-05,Resuelta,29
105,"Insecure Deserialization",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #105. Requiere priorizaci├│n.",2025-06-01,2025-05-13,Resuelta,36
106,"Privilege Escalation",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #106. Requiere priorizaci├│n.",2025-02-19,NULL,Activa,23
107,"Buffer Overflow",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #107. Requiere priorizaci├│n.",2025-06-26,2025-10-04,Resuelta,35
108,"Default Credentials",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #108. Requiere priorizaci├│n.",2025-04-27,NULL,Activa,8
109,"Privilege Escalation",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #109. Requiere priorizaci├│n.",2025-05-11,NULL,Activa,12
110,"Buffer Overflow",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #110. Requiere priorizaci├│n.",2025-06-12,NULL,Activa,8
111,"Cross-Site Scripting",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #111. Requiere priorizaci├│n.",2025-09-16,2025-07-31,Resuelta,28
112,"Cross-Site Scripting",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #112. Requiere priorizaci├│n.",2025-04-17,NULL,Activa,16
113,"Weak Cipher",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #113. Requiere priorizaci├│n.",2024-11-30,NULL,Activa,1
114,"Buffer Overflow",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #114. Requiere priorizaci├│n.",2025-07-21,2025-05-17,Resuelta,29
115,"Buffer Overflow",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #115. Requiere priorizaci├│n.",2025-02-17,2025-09-25,Resuelta,30
116,"Insecure Deserialization",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #116. Requiere priorizaci├│n.",2025-03-11,2025-07-26,Resuelta,39
117,"Buffer Overflow",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #117. Requiere priorizaci├│n.",2025-03-15,2025-08-03,Resuelta,26
118,"Cross-Site Scripting",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #118. Requiere priorizaci├│n.",2025-08-10,2025-10-29,Resuelta,2
119,"Buffer Overflow",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #119. Requiere priorizaci├│n.",2025-05-30,2025-10-23,Resuelta,18
120,"Insecure Deserialization",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #120. Requiere priorizaci├│n.",2025-04-01,NULL,Activa,18
121,"Insecure Deserialization",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #121. Requiere priorizaci├│n.",2024-11-18,NULL,Activa,25
122,"Misconfigured Service",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #122. Requiere priorizaci├│n.",2025-10-30,NULL,Activa,14
123,RCE,Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #123. Requiere priorizaci├│n.",2025-03-10,NULL,Activa,4
124,"SQL Injection",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #124. Requiere priorizaci├│n.",2025-06-21,NULL,Activa,11
125,"Misconfigured Service",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #125. Requiere priorizaci├│n.",2024-11-14,2025-11-10,Resuelta,20
126,"Misconfigured Service",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #126. Requiere priorizaci├│n.",2024-12-30,2025-06-26,Resuelta,25
127,"SQL Injection",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #127. Requiere priorizaci├│n.",2025-02-24,2025-08-04,Resuelta,30
128,"Misconfigured Service",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #128. Requiere priorizaci├│n.",2025-06-18,2025-08-09,Resuelta,7
129,"SQL Injection",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #129. Requiere priorizaci├│n.",2024-11-24,NULL,Activa,39
130,"SQL Injection",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #130. Requiere priorizaci├│n.",2025-02-07,NULL,Activa,27
131,"Open Port",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #131. Requiere priorizaci├│n.",2025-07-26,2025-04-25,Resuelta,29
132,"Misconfigured Service",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #132. Requiere priorizaci├│n.",2025-07-21,2025-04-26,Resuelta,1
133,"Buffer Overflow",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #133. Requiere priorizaci├│n.",2025-07-25,2025-08-24,Resuelta,28
134,"Default Credentials",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #134. Requiere priorizaci├│n.",2025-04-20,2025-05-23,Resuelta,3
135,"Default Credentials",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #135. Requiere priorizaci├│n.",2025-01-16,2025-10-16,Resuelta,39
136,"Privilege Escalation",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #136. Requiere priorizaci├│n.",2025-10-07,2025-07-01,Resuelta,13
137,"Cross-Site Scripting",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #137. Requiere priorizaci├│n.",2025-06-04,2025-10-15,Resuelta,13
138,"Privilege Escalation",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #138. Requiere priorizaci├│n.",2025-01-24,2025-08-31,Resuelta,16
139,"Privilege Escalation",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #139. Requiere priorizaci├│n.",2024-12-07,2025-08-04,Resuelta,2
140,"Insecure Deserialization",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #140. Requiere priorizaci├│n.",2025-04-15,NULL,Activa,36
141,"SQL Injection",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #141. Requiere priorizaci├│n.",2024-12-07,NULL,Activa,29
142,"Default Credentials",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #142. Requiere priorizaci├│n.",2025-03-27,2025-09-30,Resuelta,33
143,"Privilege Escalation",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #143. Requiere priorizaci├│n.",2025-08-09,2025-06-29,Resuelta,37
144,RCE,Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #144. Requiere priorizaci├│n.",2025-08-08,NULL,Activa,26
145,"Privilege Escalation",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #145. Requiere priorizaci├│n.",2025-05-30,NULL,Activa,12
146,"Misconfigured Service",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #146. Requiere priorizaci├│n.",2025-05-01,2025-07-16,Resuelta,31
147,"Privilege Escalation",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #147. Requiere priorizaci├│n.",2025-05-12,2025-10-01,Resuelta,13
148,"Default Credentials",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #148. Requiere priorizaci├│n.",2025-01-17,2025-06-12,Resuelta,29
149,"SQL Injection",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #149. Requiere priorizaci├│n.",2025-05-16,2025-09-25,Resuelta,4
150,RCE,Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #150. Requiere priorizaci├│n.",2025-10-05,2025-08-26,Resuelta,33
151,"Open Port",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #151. Requiere priorizaci├│n.",2025-04-17,NULL,Activa,6
152,"Default Credentials",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #152. Requiere priorizaci├│n.",2025-05-02,2025-06-27,Resuelta,35
153,RCE,Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #153. Requiere priorizaci├│n.",2025-07-25,NULL,Activa,17
154,"Weak Cipher",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #154. Requiere priorizaci├│n.",2025-02-26,NULL,Activa,13
155,"Insecure Deserialization",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #155. Requiere priorizaci├│n.",2025-02-18,NULL,Activa,26
156,"Default Credentials",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #156. Requiere priorizaci├│n.",2025-05-09,NULL,Activa,12
157,"Buffer Overflow",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #157. Requiere priorizaci├│n.",2025-10-01,NULL,Activa,35
158,"Weak Cipher",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #158. Requiere priorizaci├│n.",2024-11-29,NULL,Activa,16
159,"Weak Cipher",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #159. Requiere priorizaci├│n.",2024-12-09,NULL,Activa,3
160,"Insecure Deserialization",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #160. Requiere priorizaci├│n.",2025-07-04,2025-07-25,Resuelta,38
161,"Insecure Deserialization",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #161. Requiere priorizaci├│n.",2024-11-20,NULL,Activa,19
162,"Open Port",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #162. Requiere priorizaci├│n.",2025-03-31,NULL,Activa,32
163,"SQL Injection",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #163. Requiere priorizaci├│n.",2025-10-05,2025-09-14,Resuelta,25
164,"SQL Injection",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #164. Requiere priorizaci├│n.",2025-03-12,NULL,Activa,30
165,"Weak Cipher",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #165. Requiere priorizaci├│n.",2025-05-08,2025-04-27,Resuelta,31
166,RCE,Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #166. Requiere priorizaci├│n.",2025-04-14,2025-08-25,Resuelta,7
167,"Insecure Deserialization",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #167. Requiere priorizaci├│n.",2025-09-24,NULL,Activa,38
168,"Default Credentials",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #168. Requiere priorizaci├│n.",2025-10-17,2025-08-21,Resuelta,20
169,"Insecure Deserialization",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #169. Requiere priorizaci├│n.",2025-03-05,2025-08-18,Resuelta,13
170,"Buffer Overflow",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #170. Requiere priorizaci├│n.",2025-05-09,NULL,Activa,31
171,"Open Port",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #171. Requiere priorizaci├│n.",2025-03-07,2025-06-13,Resuelta,33
172,"Insecure Deserialization",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #172. Requiere priorizaci├│n.",2025-01-15,2025-05-17,Resuelta,27
173,"Cross-Site Scripting",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #173. Requiere priorizaci├│n.",2024-12-02,2025-06-15,Resuelta,2
